Accuracy,F1 Score,Precision,Recall
0.9542073011398315,0.9589429481529026,0.9590671447169459,0.9589091196126928
0.9564220309257507,0.9525804141980951,0.9526553401355682,0.9525553657519663
0.9580441117286682,0.9520230096168396,0.9520221140131704,0.9520239719234614
0.958106517791748,0.9603689007297989,0.9608134333057352,0.9603033326721692
0.9584964513778687,0.96454644307577,0.9651649435849305,0.964468160897672
0.960180938243866,0.9560157698196121,0.9560161001280896,0.9560154469537199
0.9598845839500427,0.9548295421637585,0.9548414554665003,0.9548219107104546
0.9608359932899475,0.9522736103065962,0.9522738280373664,0.9522884038552617
0.9613662958145142,0.9660997303646698,0.9670522631622704,0.9660034448002137
0.9627076387405396,0.9668466452510422,0.9679101458768572,0.96674502811297
0.9632691144943237,0.9654718414245468,0.9665899644741331,0.9653689296022085
0.964672863483429,0.9642399327329173,0.9646240425240726,0.9641778221252515
0.9648444056510925,0.9467643642226427,0.9490197699740145,0.9466540708147297
0.9657802581787109,0.9616224051354737,0.9618707879877619,0.9615730714583528
0.9651095867156982,0.9673587917304113,0.967815946873867,0.9672901849505544
0.9660297632217407,0.9688516027377618,0.9695593628947874,0.9687662676743348
0.9664821028709412,0.965499771228708,0.9655005787750593,0.9655155663680633
0.9667940139770508,0.9664208155071968,0.9669581228267958,0.9663469128356252
0.9670591950416565,0.9691060054525733,0.9695794569210763,0.9690356583373476
0.967168390750885,0.9485232474190776,0.9490165929487954,0.9486300746036052
0.9674491286277771,0.966344758058084,0.9675230881261762,0.9662388327349123
